LineNum,State,Colonies at start of Month Range,Maximum Colonies ,Lost Colonies,Percent Lost Colonies,Added Colonies,Renovated Colonies,Percent Renovated,Month Range,Year
186,Other States 5/,7800,8200,440,5,160,20,0,January-March,2020
188,Alabama,8500,8500,4100,48,4700,2620,31,April-June,2020
189,Arizona,26000,26000,1300,5,14000,4700,18,April-June,2020
190,Arkansas,17000,17000,1900,11,5000,800,5,April-June,2020
191,California,1200000,1200000,74000,6,184000,240000,20,April-June,2020
192,Colorado,16500,27000,2100,8,6000,2800,10,April-June,2020
193,Connecticut,3900,4300,30,1,1200,480,11,April-June,2020
194,Florida,325000,325000,39000,12,36000,23000,7,April-June,2020
195,Georgia,141000,143000,10000,7,19500,19000,13,April-June,2020
196,Hawaii,15500,15500,40,0,240,2300,15,April-June,2020
197,Idaho,48000,81000,14500,18,32000,29000,36,April-June,2020
198,Illinois,12000,12000,1500,13,4200,1700,14,April-June,2020
199,Indiana,11000,12000,920,8,4300,3200,27,April-June,2020
200,Iowa,21000,29000,3600,12,14500,4700,16,April-June,2020
201,Kansas,7500,8000,440,6,1800,1800,23,April-June,2020
202,Kentucky,11000,11000,1200,11,4200,3500,32,April-June,2020
203,Louisiana,53000,53000,1800,3,2200,4700,9,April-June,2020
204,Maine,1600,22000,1300,6,520,110,1,April-June,2020
205,Maryland,7000,8000,680,9,4500,1700,21,April-June,2020
206,Massachusetts,4300,13500,740,5,980,590,4,April-June,2020
207,Michigan,64000,79000,2600,3,9500,10000,13,April-June,2020
208,Minnesota,59000,126000,6500,5,20000,2600,2,April-June,2020
209,Mississippi,34000,37000,3000,8,3700,570,2,April-June,2020
210,Missouri,6500,6500,390,6,2900,1200,18,April-June,2020
211,Montana,48000,120000,3800,3,14000,16500,14,April-June,2020
212,Nebraska,16500,39000,1800,5,7000,1100,3,April-June,2020
213,New Jersey,7000,20000,760,4,1600,720,4,April-June,2020
214,New Mexico,3100,6000,50,1,250,60,1,April-June,2020
215,New York,33000,56000,4900,9,6500,3300,6,April-June,2020
216,North Carolina,24000,25000,1600,6,6000,1300,5,April-June,2020
217,North Dakota,67000,395000,17500,4,29000,37000,9,April-June,2020
218,Ohio,15500,16500,1700,10,9500,3700,22,April-June,2020
219,Oklahoma,16000,16000,1500,9,6000,3100,19,April-June,2020
220,Oregon,89000,95000,2500,3,10500,19000,20,April-June,2020
221,Pennsylvania,24000,27000,1000,4,6000,1700,6,April-June,2020
222,South Carolina,19500,20000,1700,9,2700,2500,13,April-June,2020
223,South Dakota,9500,205000,4600,2,8500,14500,7,April-June,2020
224,Tennessee,13500,13500,1200,9,4200,3200,24,April-June,2020
225,Texas,360000,385000,25000,6,75000,136000,35,April-June,2020
226,Utah,21000,31000,2700,9,7000,13500,44,April-June,2020
227,Vermont,7000,7000,260,4,700,130,2,April-June,2020
228,Virginia,7500,8000,1200,15,4800,1300,16,April-June,2020
229,Washington,50000,114000,3100,3,5000,3300,3,April-June,2020
230,West Virginia,7500,7500,570,8,1600,1500,20,April-June,2020
231,Wisconsin,27000,53000,1700,3,11500,4600,9,April-June,2020
232,Wyoming,17500,24000,1600,7,2300,2100,9,April-June,2020
233,Other States 5/,6500,7440,250,3,1270,1500,20,April-June,2020
